,mouse_name,session_date,pm
0,ZFM-04019,2022-08-04,0.87
1,ZFM-04019,2022-08-03,0.79
2,ZFM-04019,2022-08-02,0.78
3,ZFM-04019,2022-07-29,0.87
4,ZFM-04019,2022-07-28,0.84
5,ZFM-04019,2022-07-27,0.79
6,ZFM-04019,2022-07-26,0.76
7,ZFM-04019,2022-07-25,0.65
8,ZFM-04019,2022-07-20,0.49
9,ZFM-04019,2022-07-19,0.8
10,ZFM-04019,2022-07-18,0.76
11,ZFM-04019,2022-07-15,0.85
12,ZFM-04019,2022-07-14,0.7
13,ZFM-04019,2022-07-13,0.8
14,ZFM-04019,2022-07-08,0.86
15,ZFM-04019,2022-07-07,0.75
16,ZFM-04019,2022-07-06,0.78
17,ZFM-04019,2022-07-05,0.82
18,ZFM-04019,2022-07-01,0.8
19,ZFM-04019,2022-06-30,0.78
20,ZFM-04019,2022-06-29,0.58
21,ZFM-04019,2022-06-28,0.62
22,ZFM-04019,2022-06-27,0.48
23,ZFM-04019,2022-06-24,0.81
24,ZFM-04019,2022-06-23,0.83
25,ZFM-04019,2022-06-21,0.78
26,ZFM-04019,2022-06-10,0.87
27,ZFM-04019,2022-06-09,0.85
28,ZFM-04019,2022-06-08,0.83
29,ZFM-04019,2022-06-07,0.78
30,ZFM-04019,2022-06-06,0.72
31,ZFM-04019,2022-06-03,0.67
32,ZFM-04019,2022-06-02,0.85
33,ZFM-04019,2022-06-01,0.77
34,ZFM-04019,2022-05-31,0.82
35,ZFM-04019,2022-05-30,0.81
36,ZFM-04019,2022-05-27,0.77
37,ZFM-04019,2022-05-26,0.69
38,ZFM-04019,2022-05-11,0.86
39,ZFM-04019,2022-05-09,0.77
40,ZFM-04019,2022-05-06,0.86
41,ZFM-04019,2022-05-05,0.8
42,ZFM-04019,2022-05-04,0.76
43,ZFM-04019,2022-05-04,0.72
44,ZFM-04019,2022-05-03,0.7
45,ZFM-04019,2022-04-28,0.7
46,ZFM-04019,2022-04-27,0.69
47,ZFM-04019,2022-04-26,0.66
48,ZFM-04019,2022-04-22,0.77
49,ZFM-04019,2022-04-21,0.71
50,ZFM-04019,2022-04-20,0.69
51,ZFM-04019,2022-04-14,0.84
52,ZFM-04019,2022-04-13,0.65
53,ZFM-04019,2022-04-12,0.69
54,ZFM-04019,2022-04-08,0.8
55,ZFM-04019,2022-04-06,0.81
56,ZFM-04019,2022-04-05,0.81
57,ZFM-04019,2022-04-04,0.56
58,ZFM-04019,2022-04-01,0.84
59,ZFM-04019,2022-03-31,0.73
60,ZFM-04019,2022-03-30,0.58
61,ZFM-04019,2022-03-29,0.74
62,ZFM-04019,2022-03-28,0.43
63,ZFM-04019,2022-03-25,0.81
64,ZFM-04019,2022-03-25,0.74
65,ZFM-04019,2022-03-24,0.79
66,ZFM-04019,2022-03-23,0.44
67,ZFM-04019,2022-03-23,0.7
68,ZFM-04019,2022-03-22,0.51
69,ZFM-04019,2022-03-21,0.6
70,ZFM-04019,2022-03-18,0.53
71,ZFM-04019,2022-03-17,0.39
72,ZFM-04019,2022-02-25,0.47
73,ZFM-04019,2022-02-19,0.48
74,ZFM-04019,2022-02-08,0.52
75,ZFM-04019,2022-02-08,0.6
76,ZFM-04019,2022-02-07,0.47
77,ZFM-04019,2022-02-04,0.31
78,ZFM-04019,2022-02-03,0.48
79,ZFM-04019,2022-02-02,0.52
