,mouse_name,session_date,pm
0,ZFM-03061,2021-12-08,0.59
1,ZFM-03061,2021-12-07,0.57
2,ZFM-03061,2021-12-06,0.55
3,ZFM-03061,2021-10-22,0.73
4,ZFM-03061,2021-10-21,0.89
5,ZFM-03061,2021-10-20,0.86
6,ZFM-03061,2021-10-19,0.83
7,ZFM-03061,2021-10-15,0.98
8,ZFM-03061,2021-10-14,0.91
9,ZFM-03061,2021-10-13,0.93
10,ZFM-03061,2021-10-12,0.96
11,ZFM-03061,2021-10-11,0.88
12,ZFM-03061,2021-10-08,0.9
13,ZFM-03061,2021-10-07,0.85
14,ZFM-03061,2021-10-05,0.86
15,ZFM-03061,2021-10-04,0.9
16,ZFM-03061,2021-10-01,0.88
17,ZFM-03061,2021-09-30,0.9
18,ZFM-03061,2021-09-29,0.9
19,ZFM-03061,2021-09-28,0.9
20,ZFM-03061,2021-09-27,0.95
21,ZFM-03061,2021-09-24,0.9
22,ZFM-03061,2021-09-23,0.89
23,ZFM-03061,2021-09-22,0.83
24,ZFM-03061,2021-09-21,0.84
25,ZFM-03061,2021-09-20,0.86
26,ZFM-03061,2021-09-17,0.72
27,ZFM-03061,2021-09-16,0.76
28,ZFM-03061,2021-09-15,0.78
29,ZFM-03061,2021-09-14,0.78
30,ZFM-03061,2021-09-13,0.79
31,ZFM-03061,2021-09-10,0.74
32,ZFM-03061,2021-09-09,0.78
33,ZFM-03061,2021-09-08,0.74
34,ZFM-03061,2021-09-07,0.78
35,ZFM-03061,2021-09-06,0.76
36,ZFM-03061,2021-09-03,0.68
37,ZFM-03061,2021-09-02,0.6
38,ZFM-03061,2021-09-01,0.6
