,mouse_name,session_date,pm
0,ZFM-04022,2022-08-17,0.69
1,ZFM-04022,2022-08-16,0.56
2,ZFM-04022,2022-08-04,0.68
3,ZFM-04022,2022-08-03,0.81
4,ZFM-04022,2022-08-02,0.71
5,ZFM-04022,2022-08-01,0.37
6,ZFM-04022,2022-07-29,0.81
7,ZFM-04022,2022-07-28,0.88
8,ZFM-04022,2022-07-27,0.81
9,ZFM-04022,2022-07-26,0.7
10,ZFM-04022,2022-07-22,0.88
11,ZFM-04022,2022-07-21,0.86
12,ZFM-04022,2022-07-20,0.8
13,ZFM-04022,2022-07-19,0.76
14,ZFM-04022,2022-07-18,0.65
15,ZFM-04022,2022-07-15,0.78
16,ZFM-04022,2022-07-14,0.84
17,ZFM-04022,2022-07-13,0.74
18,ZFM-04022,2022-07-08,0.86
19,ZFM-04022,2022-07-07,0.81
20,ZFM-04022,2022-07-06,0.85
21,ZFM-04022,2022-07-05,0.78
22,ZFM-04022,2022-06-30,0.71
23,ZFM-04022,2022-06-29,0.58
24,ZFM-04022,2022-06-28,0.76
25,ZFM-04022,2022-06-27,0.54
26,ZFM-04022,2022-06-24,0.81
27,ZFM-04022,2022-06-23,0.82
28,ZFM-04022,2022-06-21,0.73
29,ZFM-04022,2022-06-10,0.85
30,ZFM-04022,2022-06-09,0.74
31,ZFM-04022,2022-06-08,0.78
32,ZFM-04022,2022-06-07,0.78
33,ZFM-04022,2022-06-06,0.78
34,ZFM-04022,2022-06-03,0.73
35,ZFM-04022,2022-06-02,0.87
36,ZFM-04022,2022-06-01,0.75
37,ZFM-04022,2022-05-31,0.77
38,ZFM-04022,2022-05-30,0.8
39,ZFM-04022,2022-05-27,0.81
40,ZFM-04022,2022-05-26,0.78
41,ZFM-04022,2022-05-11,0.77
42,ZFM-04022,2022-05-09,0.71
43,ZFM-04022,2022-05-06,0.75
44,ZFM-04022,2022-05-05,0.7
45,ZFM-04022,2022-05-04,0.76
46,ZFM-04022,2022-05-03,0.69
47,ZFM-04022,2022-04-28,0.81
48,ZFM-04022,2022-04-27,0.79
49,ZFM-04022,2022-04-26,0.64
50,ZFM-04022,2022-04-22,0.76
51,ZFM-04022,2022-04-21,0.78
52,ZFM-04022,2022-04-20,0.72
53,ZFM-04022,2022-04-14,0.78
54,ZFM-04022,2022-04-13,0.63
55,ZFM-04022,2022-04-12,0.57
56,ZFM-04022,2022-04-08,0.53
57,ZFM-04022,2022-04-06,0.53
58,ZFM-04022,2022-04-05,0.51
59,ZFM-04022,2022-04-04,0.53
60,ZFM-04022,2022-04-01,0.5
61,ZFM-04022,2022-03-31,0.49
62,ZFM-04022,2022-03-30,0.56
63,ZFM-04022,2022-03-29,0.5
64,ZFM-04022,2022-03-28,0.42
65,ZFM-04022,2022-03-25,0.48
66,ZFM-04022,2022-03-24,0.44
67,ZFM-04022,2022-03-17,0.41
68,ZFM-04022,2022-02-25,0.52
69,ZFM-04022,2022-02-19,0.52
70,ZFM-04022,2022-02-08,0.48
71,ZFM-04022,2022-02-08,0.36
72,ZFM-04022,2022-02-07,0.5
73,ZFM-04022,2022-02-04,0.47
74,ZFM-04022,2022-02-03,0.29
