,mouse_name,session_date,pm
0,ZFM-03059,2022-04-28,0.88
1,ZFM-03059,2022-04-27,0.68
2,ZFM-03059,2022-04-26,0.83
3,ZFM-03059,2022-04-22,0.9
4,ZFM-03059,2022-04-21,0.91
5,ZFM-03059,2022-04-20,0.87
6,ZFM-03059,2022-04-19,0.8
7,ZFM-03059,2022-04-18,0.61
8,ZFM-03059,2022-04-14,0.61
9,ZFM-03059,2022-04-12,0.77
10,ZFM-03059,2022-04-08,0.74
11,ZFM-03059,2022-04-06,0.76
12,ZFM-03059,2022-04-05,0.83
13,ZFM-03059,2022-04-04,0.55
14,ZFM-03059,2022-04-01,0.73
15,ZFM-03059,2022-03-31,0.82
16,ZFM-03059,2022-03-29,0.79
17,ZFM-03059,2022-03-28,0.78
18,ZFM-03059,2022-03-25,0.77
19,ZFM-03059,2022-03-24,0.58
20,ZFM-03059,2022-03-18,0.77
21,ZFM-03059,2022-02-25,0.82
22,ZFM-03059,2022-02-19,0.86
23,ZFM-03059,2022-02-08,0.83
24,ZFM-03059,2022-02-07,0.67
25,ZFM-03059,2022-02-04,0.73
26,ZFM-03059,2022-02-03,0.72
27,ZFM-03059,2022-01-14,0.91
28,ZFM-03059,2022-01-07,0.85
29,ZFM-03059,2022-01-06,0.79
30,ZFM-03059,2022-01-05,0.83
31,ZFM-03059,2022-01-04,0.76
32,ZFM-03059,2022-01-03,0.72
33,ZFM-03059,2021-12-22,0.8
34,ZFM-03059,2021-12-16,0.41
35,ZFM-03059,2021-12-13,0.16
36,ZFM-03059,2021-12-10,0.11
37,ZFM-03059,2021-12-09,0.18
38,ZFM-03059,2021-12-08,0.8
39,ZFM-03059,2021-12-07,0.51
40,ZFM-03059,2021-12-06,0.76
41,ZFM-03059,2021-10-22,0.84
42,ZFM-03059,2021-10-21,0.9
43,ZFM-03059,2021-10-20,0.9
44,ZFM-03059,2021-10-19,0.85
45,ZFM-03059,2021-10-15,0.93
46,ZFM-03059,2021-10-14,0.92
47,ZFM-03059,2021-10-13,0.97
48,ZFM-03059,2021-10-12,0.98
49,ZFM-03059,2021-10-11,0.98
50,ZFM-03059,2021-10-09,0.97
51,ZFM-03059,2021-10-08,0.96
52,ZFM-03059,2021-10-07,0.89
53,ZFM-03059,2021-10-05,0.95
54,ZFM-03059,2021-10-04,0.83
55,ZFM-03059,2021-10-01,0.97
56,ZFM-03059,2021-09-30,0.71
57,ZFM-03059,2021-09-29,0.94
58,ZFM-03059,2021-09-28,0.94
59,ZFM-03059,2021-09-27,0.62
60,ZFM-03059,2021-09-24,0.92
61,ZFM-03059,2021-09-23,0.85
62,ZFM-03059,2021-09-22,0.81
63,ZFM-03059,2021-09-21,0.83
64,ZFM-03059,2021-09-20,0.87
65,ZFM-03059,2021-09-17,0.66
66,ZFM-03059,2021-09-16,0.82
67,ZFM-03059,2021-09-15,0.75
68,ZFM-03059,2021-09-14,0.72
69,ZFM-03059,2021-09-13,0.87
70,ZFM-03059,2021-09-10,0.75
71,ZFM-03059,2021-09-09,0.81
72,ZFM-03059,2021-09-08,0.81
73,ZFM-03059,2021-09-08,0.79
74,ZFM-03059,2021-09-07,0.82
75,ZFM-03059,2021-09-06,0.77
76,ZFM-03059,2021-09-03,0.85
77,ZFM-03059,2021-09-02,0.78
78,ZFM-03059,2021-09-01,0.6
79,ZFM-03059,2021-08-31,0.55
80,ZFM-03059,2021-08-30,0.45
81,ZFM-03059,2021-08-27,0.45
