,mouse_name,session_date,pm
0,ZFM-04026,2022-08-17,0.73
1,ZFM-04026,2022-08-04,0.81
2,ZFM-04026,2022-08-03,0.84
3,ZFM-04026,2022-08-02,0.8
4,ZFM-04026,2022-07-29,0.82
5,ZFM-04026,2022-07-28,0.76
6,ZFM-04026,2022-07-27,0.66
7,ZFM-04026,2022-07-26,0.75
8,ZFM-04026,2022-07-25,0.6
9,ZFM-04026,2022-07-22,0.8
10,ZFM-04026,2022-07-21,0.77
11,ZFM-04026,2022-07-20,0.85
12,ZFM-04026,2022-07-19,0.75
13,ZFM-04026,2022-07-18,0.75
14,ZFM-04026,2022-07-15,0.79
15,ZFM-04026,2022-07-14,0.76
16,ZFM-04026,2022-07-13,0.74
17,ZFM-04026,2022-07-08,0.83
18,ZFM-04026,2022-07-07,0.82
19,ZFM-04026,2022-07-06,0.84
20,ZFM-04026,2022-07-05,0.84
21,ZFM-04026,2022-07-04,0.57
22,ZFM-04026,2022-06-30,0.72
23,ZFM-04026,2022-06-29,0.75
24,ZFM-04026,2022-06-28,0.73
25,ZFM-04026,2022-06-27,0.68
26,ZFM-04026,2022-06-24,0.82
27,ZFM-04026,2022-06-23,0.83
28,ZFM-04026,2022-06-21,0.62
29,ZFM-04026,2022-06-10,0.57
30,ZFM-04026,2022-06-09,0.71
31,ZFM-04026,2022-06-08,0.5
32,ZFM-04026,2022-06-07,0.59
33,ZFM-04026,2022-06-06,0.59
34,ZFM-04026,2022-06-03,0.78
35,ZFM-04026,2022-06-02,0.81
36,ZFM-04026,2022-06-01,0.76
37,ZFM-04026,2022-05-31,0.75
38,ZFM-04026,2022-05-30,0.79
39,ZFM-04026,2022-05-27,0.77
40,ZFM-04026,2022-05-27,0.89
41,ZFM-04026,2022-05-26,0.66
42,ZFM-04026,2022-05-11,0.76
43,ZFM-04026,2022-05-09,0.66
44,ZFM-04026,2022-05-06,0.71
45,ZFM-04026,2022-05-05,0.76
46,ZFM-04026,2022-05-04,0.72
47,ZFM-04026,2022-05-03,0.71
48,ZFM-04026,2022-04-28,0.7
49,ZFM-04026,2022-04-27,0.7
50,ZFM-04026,2022-04-26,0.67
51,ZFM-04026,2022-04-22,0.71
52,ZFM-04026,2022-04-21,0.69
53,ZFM-04026,2022-04-20,0.75
54,ZFM-04026,2022-04-14,0.78
55,ZFM-04026,2022-04-13,0.85
56,ZFM-04026,2022-04-12,0.8
57,ZFM-04026,2022-04-08,0.73
58,ZFM-04026,2022-04-06,0.83
59,ZFM-04026,2022-04-05,0.69
60,ZFM-04026,2022-04-04,0.69
61,ZFM-04026,2022-04-01,0.58
62,ZFM-04026,2022-03-31,0.67
63,ZFM-04026,2022-03-30,0.68
64,ZFM-04026,2022-03-29,0.58
65,ZFM-04026,2022-03-28,0.5
66,ZFM-04026,2022-03-25,0.81
67,ZFM-04026,2022-03-24,0.6
68,ZFM-04026,2022-03-23,0.54
69,ZFM-04026,2022-03-22,0.5
70,ZFM-04026,2022-03-21,0.51
71,ZFM-04026,2022-03-18,0.43
72,ZFM-04026,2022-03-17,0.4
73,ZFM-04026,2022-02-25,0.51
74,ZFM-04026,2022-02-19,0.52
75,ZFM-04026,2022-02-17,0.47
76,ZFM-04026,2022-02-08,0.52
77,ZFM-04026,2022-02-07,0.49
78,ZFM-04026,2022-02-04,0.49
79,ZFM-04026,2022-02-03,0.49
80,ZFM-04026,2022-02-02,0.42
