,mouse_name,session_date,pm
0,ZFM-03447,2022-07-29,0.66
1,ZFM-03447,2022-07-27,0.73
2,ZFM-03447,2022-07-26,0.68
3,ZFM-03447,2022-07-21,0.72
4,ZFM-03447,2022-07-15,0.7
5,ZFM-03447,2022-07-14,0.7
6,ZFM-03447,2022-07-13,0.58
7,ZFM-03447,2022-07-08,0.74
8,ZFM-03447,2022-07-07,0.68
9,ZFM-03447,2022-07-06,0.7
10,ZFM-03447,2022-07-05,0.63
11,ZFM-03447,2022-06-30,0.65
12,ZFM-03447,2022-06-29,0.72
13,ZFM-03447,2022-06-28,0.71
14,ZFM-03447,2022-06-27,0.66
15,ZFM-03447,2022-06-24,0.63
16,ZFM-03447,2022-06-23,0.7
17,ZFM-03447,2022-06-10,0.74
18,ZFM-03447,2022-06-09,0.71
19,ZFM-03447,2022-06-03,0.65
20,ZFM-03447,2022-06-02,0.77
21,ZFM-03447,2022-05-31,0.69
22,ZFM-03447,2022-05-27,0.79
23,ZFM-03447,2022-05-26,0.64
24,ZFM-03447,2022-05-11,0.67
25,ZFM-03447,2022-05-09,0.61
26,ZFM-03447,2022-05-06,0.75
27,ZFM-03447,2022-05-05,0.63
28,ZFM-03447,2022-05-04,0.69
29,ZFM-03447,2022-05-03,0.71
30,ZFM-03447,2022-04-28,0.74
31,ZFM-03447,2022-04-27,0.72
32,ZFM-03447,2022-04-26,0.6
33,ZFM-03447,2022-04-22,0.73
34,ZFM-03447,2022-04-21,0.74
35,ZFM-03447,2022-04-20,0.69
36,ZFM-03447,2022-04-08,0.81
37,ZFM-03447,2022-04-05,0.71
38,ZFM-03447,2022-04-04,0.63
39,ZFM-03447,2022-04-01,0.67
40,ZFM-03447,2022-03-31,0.83
41,ZFM-03447,2022-03-30,0.72
42,ZFM-03447,2022-03-29,0.54
43,ZFM-03447,2022-03-28,0.53
44,ZFM-03447,2022-03-25,0.51
45,ZFM-03447,2022-03-24,0.59
46,ZFM-03447,2022-03-23,0.66
47,ZFM-03447,2022-03-22,0.6
48,ZFM-03447,2022-03-21,0.49
49,ZFM-03447,2022-03-18,0.6
50,ZFM-03447,2022-03-17,0.64
51,ZFM-03447,2022-02-25,0.69
52,ZFM-03447,2022-02-17,0.56
53,ZFM-03447,2022-02-08,0.78
54,ZFM-03447,2022-02-07,0.8
55,ZFM-03447,2022-02-04,0.77
56,ZFM-03447,2022-02-03,0.78
57,ZFM-03447,2022-02-02,0.7
58,ZFM-03447,2022-01-31,0.61
59,ZFM-03447,2022-01-30,0.67
60,ZFM-03447,2022-01-28,0.79
61,ZFM-03447,2022-01-26,0.64
62,ZFM-03447,2022-01-26,0.67
63,ZFM-03447,2022-01-25,0.68
64,ZFM-03447,2022-01-25,0.79
65,ZFM-03447,2022-01-24,0.7
66,ZFM-03447,2022-01-21,0.66
67,ZFM-03447,2022-01-20,0.79
68,ZFM-03447,2022-01-19,0.64
69,ZFM-03447,2022-01-18,0.73
70,ZFM-03447,2022-01-17,0.6
71,ZFM-03447,2022-01-14,0.62
72,ZFM-03447,2022-01-13,0.8
73,ZFM-03447,2022-01-13,0.75
74,ZFM-03447,2022-01-12,0.7
75,ZFM-03447,2022-01-11,0.64
76,ZFM-03447,2022-01-07,0.72
77,ZFM-03447,2022-01-06,0.69
78,ZFM-03447,2022-01-05,0.76
79,ZFM-03447,2022-01-04,0.73
80,ZFM-03447,2022-01-03,0.58
81,ZFM-03447,2021-12-22,0.77
82,ZFM-03447,2021-12-16,0.79
83,ZFM-03447,2021-12-15,0.69
84,ZFM-03447,2021-12-14,0.64
85,ZFM-03447,2021-12-14,0.77
86,ZFM-03447,2021-12-13,0.74
87,ZFM-03447,2021-12-10,0.68
88,ZFM-03447,2021-12-09,0.6
89,ZFM-03447,2021-12-07,0.75
90,ZFM-03447,2021-12-06,0.66
91,ZFM-03447,2021-12-03,0.81
92,ZFM-03447,2021-12-02,0.81
93,ZFM-03447,2021-11-30,0.75
94,ZFM-03447,2021-11-29,0.77
95,ZFM-03447,2021-11-27,0.78
96,ZFM-03447,2021-11-26,0.75
97,ZFM-03447,2021-11-25,0.65
98,ZFM-03447,2021-11-24,0.71
99,ZFM-03447,2021-11-22,0.68
100,ZFM-03447,2021-11-21,0.67
101,ZFM-03447,2021-11-20,0.57
102,ZFM-03447,2021-11-19,0.52
103,ZFM-03447,2021-11-18,0.56
104,ZFM-03447,2021-11-13,0.54
105,ZFM-03447,2021-11-12,0.48
106,ZFM-03447,2021-11-11,0.43
107,ZFM-03447,2021-11-10,0.48
108,ZFM-03447,2021-11-10,0.48
109,ZFM-03447,2021-11-08,0.51
110,ZFM-03447,2021-11-07,0.4
111,ZFM-03447,2021-11-06,0.47
112,ZFM-03447,2021-11-05,0.4
