,mouse_name,session_date,pm
0,ZFM-04533,2022-08-04,0.69
1,ZFM-04533,2022-08-03,0.7
2,ZFM-04533,2022-08-02,0.71
3,ZFM-04533,2022-07-29,0.69
4,ZFM-04533,2022-07-28,0.71
5,ZFM-04533,2022-07-27,0.66
6,ZFM-04533,2022-07-26,0.59
7,ZFM-04533,2022-07-25,0.66
8,ZFM-04533,2022-07-22,0.76
9,ZFM-04533,2022-07-21,0.7
10,ZFM-04533,2022-07-20,0.6
11,ZFM-04533,2022-07-19,0.72
12,ZFM-04533,2022-07-18,0.64
13,ZFM-04533,2022-07-15,0.68
14,ZFM-04533,2022-07-14,0.53
15,ZFM-04533,2022-07-13,0.67
16,ZFM-04533,2022-07-13,0.65
17,ZFM-04533,2022-07-08,0.64
18,ZFM-04533,2022-07-07,0.42
19,ZFM-04533,2022-07-06,0.44
20,ZFM-04533,2022-07-05,0.51
21,ZFM-04533,2022-07-04,0.59
22,ZFM-04533,2022-06-30,0.57
23,ZFM-04533,2022-06-29,0.67
24,ZFM-04533,2022-06-28,0.7
25,ZFM-04533,2022-06-27,0.57
26,ZFM-04533,2022-06-24,0.7
27,ZFM-04533,2022-06-23,0.74
28,ZFM-04533,2022-06-22,0.71
29,ZFM-04533,2022-06-21,0.67
30,ZFM-04533,2022-06-10,0.81
31,ZFM-04533,2022-06-09,0.76
32,ZFM-04533,2022-06-08,0.78
33,ZFM-04533,2022-06-07,0.55
34,ZFM-04533,2022-06-06,0.68
35,ZFM-04533,2022-06-03,0.81
36,ZFM-04533,2022-06-02,0.72
37,ZFM-04533,2022-06-01,0.54
38,ZFM-04533,2022-05-31,0.6
39,ZFM-04533,2022-05-30,0.54
